13,CPLEX Default,lunghezza crescente,score somma crescente,score medio crescente,lunghezza crescente duplicati in cima,score somma crescente duplicati in cima,score medio crescente duplicati in cima,lunghezza decrescente,score somma decrescente,score medio decrescente,lunghezza decrescente duplicati in cima,score somma decrescente duplicati in cima,score medio decrescente duplicati in cima
../Dataset/ReducedLP/scpb2_reduced.lp,495,465,446,377,448,448,448,477,444,465,471,471,471
../Dataset/ReducedLP/scpb2_reduced.lp,652,584,616,556,526,526,526,545,554,571,576,576,576
../Dataset/ReducedLP/scpb2_reduced.lp,474,475,425,450,515,515,515,426,471,468,448,448,448
../Dataset/ReducedLP/scpb2_reduced.lp,443,500,456,513,543,543,543,520,502,472,520,520,520
../Dataset/ReducedLP/scpb2_reduced.lp,445,478,440,521,521,521,521,493,482,501,436,436,436
../Dataset/ReducedLP/scpb2_reduced.lp,499,524,457,498,529,529,529,547,544,578,487,487,487
../Dataset/ReducedLP/scpb2_reduced.lp,450,477,456,427,444,444,444,387,470,522,431,431,431
../Dataset/ReducedLP/scpb2_reduced.lp,519,536,421,506,539,539,539,458,445,493,472,472,472
../Dataset/ReducedLP/scpb2_reduced.lp,443,493,502,519,536,536,536,516,498,522,518,518,518
../Dataset/ReducedLP/scpb2_reduced.lp,430,441,459,488,523,523,523,457,415,422,484,484,484
../Dataset/ReducedLP/scpb4_reduced.lp,659,722,678,739,1066,1066,1066,620,645,707,796,796,796
../Dataset/ReducedLP/scpb4_reduced.lp,752,928,807,654,741,741,741,677,647,737,680,680,680
../Dataset/ReducedLP/scpb4_reduced.lp,741,674,651,699,686,686,686,666,715,676,641,641,641
../Dataset/ReducedLP/scpb4_reduced.lp,673,756,687,793,672,672,672,711,641,670,649,649,649
../Dataset/ReducedLP/scpb4_reduced.lp,657,641,606,604,603,603,603,622,622,595,614,614,614
../Dataset/ReducedLP/scpb4_reduced.lp,630,732,703,643,690,690,690,596,583,579,683,683,683
../Dataset/ReducedLP/scpb4_reduced.lp,718,747,619,688,787,787,787,710,631,779,722,722,722
../Dataset/ReducedLP/scpb4_reduced.lp,720,716,691,693,671,671,671,673,663,789,725,725,725
../Dataset/ReducedLP/scpb4_reduced.lp,767,647,622,665,695,695,695,608,739,630,693,693,693
../Dataset/ReducedLP/scpb4_reduced.lp,732,712,585,579,682,682,682,625,688,620,640,640,640
../Dataset/ReducedLP/scpc2_reduced.lp,134,122,94,76,98,90,94,94,95,90,98,93,90
../Dataset/ReducedLP/scpc2_reduced.lp,36,51,27,27,25,25,24,35,25,21,27,21,21
../Dataset/ReducedLP/scpc2_reduced.lp,43,37,28,29,34,35,37,32,31,31,34,31,31
../Dataset/ReducedLP/scpc2_reduced.lp,37,37,34,34,33,33,33,35,31,29,33,29,29
../Dataset/ReducedLP/scpc2_reduced.lp,88,84,79,74,83,80,85,77,61,64,80,64,62
../Dataset/ReducedLP/scpc2_reduced.lp,37,44,41,41,33,35,35,33,29,31,33,31,31
../Dataset/ReducedLP/scpc2_reduced.lp,46,38,33,33,33,35,35,33,34,33,33,33,33
../Dataset/ReducedLP/scpc2_reduced.lp,43,39,31,31,33,31,31,37,28,29,33,29,29
../Dataset/ReducedLP/scpc2_reduced.lp,91,63,81,76,76,78,76,67,58,67,79,66,72
../Dataset/ReducedLP/scpc2_reduced.lp,90,98,68,67,74,74,74,77,61,64,76,62,62
../Dataset/ReducedLP/scpc3_reduced.lp,229,172,191,160,166,182,182,173,163,165,166,169,163
../Dataset/ReducedLP/scpc3_reduced.lp,176,140,138,160,144,142,142,146,147,150,140,148,146
../Dataset/ReducedLP/scpc3_reduced.lp,179,181,193,180,228,195,195,181,148,194,220,185,187
../Dataset/ReducedLP/scpc3_reduced.lp,174,154,151,138,176,146,146,147,150,154,130,148,150
../Dataset/ReducedLP/scpc3_reduced.lp,172,153,160,158,150,163,160,153,166,172,155,164,171
../Dataset/ReducedLP/scpc3_reduced.lp,173,175,139,136,150,148,146,160,153,155,141,156,154
../Dataset/ReducedLP/scpc3_reduced.lp,195,169,180,178,157,153,153,154,177,155,153,178,155
../Dataset/ReducedLP/scpc3_reduced.lp,275,177,178,163,179,187,181,178,191,182,176,189,189
