2,CPLEX Default,α = 5.0 λ = 100
../Dataset/ReducedLP/scpb2_reduced.lp,0.616768,0.469153
../Dataset/ReducedLP/scpb2_reduced.lp,1.000925,0.467906
../Dataset/ReducedLP/scpb2_reduced.lp,0.45057299999999995,0.472447
../Dataset/ReducedLP/scpb2_reduced.lp,0.481875,0.482889
../Dataset/ReducedLP/scpb2_reduced.lp,0.4310350000000001,0.472426
../Dataset/ReducedLP/scpb2_reduced.lp,0.44146,0.465136
../Dataset/ReducedLP/scpb2_reduced.lp,0.43564899999999995,0.481339
../Dataset/ReducedLP/scpb2_reduced.lp,0.424886,0.466002
../Dataset/ReducedLP/scpb2_reduced.lp,0.425633,0.466289
../Dataset/ReducedLP/scpb2_reduced.lp,0.45757,0.493363
../Dataset/ReducedLP/scpb4_reduced.lp,0.829728,0.519497
../Dataset/ReducedLP/scpb4_reduced.lp,1.277725,0.6105149999999999
../Dataset/ReducedLP/scpb4_reduced.lp,0.539676,0.581675
../Dataset/ReducedLP/scpb4_reduced.lp,0.483579,0.52308
../Dataset/ReducedLP/scpb4_reduced.lp,0.502796,0.529315
../Dataset/ReducedLP/scpb4_reduced.lp,0.491766,0.525513
../Dataset/ReducedLP/scpb4_reduced.lp,0.503378,0.523913
../Dataset/ReducedLP/scpb4_reduced.lp,0.456712,0.493758
../Dataset/ReducedLP/scpb4_reduced.lp,0.48855699999999996,0.515338
../Dataset/ReducedLP/scpb4_reduced.lp,0.517469,0.5535479999999999
../Dataset/ReducedLP/scpc2_reduced.lp,0.9675959999999999,0.369429
../Dataset/ReducedLP/scpc2_reduced.lp,0.97803,0.374215
../Dataset/ReducedLP/scpc2_reduced.lp,0.354241,0.351729
../Dataset/ReducedLP/scpc2_reduced.lp,0.318048,0.337287
../Dataset/ReducedLP/scpc2_reduced.lp,0.351648,0.364221
../Dataset/ReducedLP/scpc2_reduced.lp,0.36693400000000004,0.376293
../Dataset/ReducedLP/scpc2_reduced.lp,0.35070500000000004,0.35621
../Dataset/ReducedLP/scpc2_reduced.lp,0.34136500000000003,0.357614
../Dataset/ReducedLP/scpc2_reduced.lp,0.345288,0.351227
../Dataset/ReducedLP/scpc2_reduced.lp,0.349159,0.366072
../Dataset/ReducedLP/scpc3_reduced.lp,1.32051,0.38425
../Dataset/ReducedLP/scpc3_reduced.lp,0.929154,0.394465
../Dataset/ReducedLP/scpc3_reduced.lp,0.504285,0.529107
../Dataset/ReducedLP/scpc3_reduced.lp,0.35581399999999996,0.369293
../Dataset/ReducedLP/scpc3_reduced.lp,0.38509299999999996,0.382063
../Dataset/ReducedLP/scpc3_reduced.lp,0.355459,0.40624
../Dataset/ReducedLP/scpc3_reduced.lp,0.4005780000000001,0.412065
../Dataset/ReducedLP/scpc3_reduced.lp,0.361836,0.38687
../Dataset/ReducedLP/scpc3_reduced.lp,0.368286,0.389329
../Dataset/ReducedLP/scpc3_reduced.lp,0.37269800000000003,0.391443
../Dataset/ReducedLP/scpclr10_reduced.lp,18.606231,24.481091
../Dataset/ReducedLP/scpclr10_reduced.lp,24.50374,16.383505
../Dataset/ReducedLP/scpclr10_reduced.lp,5.8600309999999975,7.904717
../Dataset/ReducedLP/scpclr10_reduced.lp,11.146887,11.305491
../Dataset/ReducedLP/scpclr10_reduced.lp,10.803463,14.989118
../Dataset/ReducedLP/scpclr10_reduced.lp,11.05233,12.279876
../Dataset/ReducedLP/scpclr10_reduced.lp,21.458966,27.937754
../Dataset/ReducedLP/scpclr10_reduced.lp,16.8886,15.921183
../Dataset/ReducedLP/scpclr10_reduced.lp,12.302688,12.993456
../Dataset/ReducedLP/scpclr10_reduced.lp,6.298415,6.056568
../Dataset/ReducedLP/scpclr11_reduced.lp,1268.873633,1392.951319
../Dataset/ReducedLP/scpclr11_reduced.lp,1604.2516039999994,1285.363925
../Dataset/ReducedLP/scpclr11_reduced.lp,1651.007369,1758.4289440000002
../Dataset/ReducedLP/scpclr11_reduced.lp,1392.560093,1402.912319
../Dataset/ReducedLP/scpclr11_reduced.lp,1413.874656,1517.720342
../Dataset/ReducedLP/scpclr11_reduced.lp,1329.4001779999999,1346.94043
../Dataset/ReducedLP/scpclr11_reduced.lp,1386.028523,1731.391544
../Dataset/ReducedLP/scpclr11_reduced.lp,3024.690072,1508.0123640000004
../Dataset/ReducedLP/scpclr11_reduced.lp,1284.35075,1439.6809970000004
../Dataset/ReducedLP/scpclr11_reduced.lp,1567.083379,1617.523834
../Dataset/ReducedLP/scpd1_reduced.lp,1.036398,0.420824
../Dataset/ReducedLP/scpd1_reduced.lp,0.971398,0.50649
../Dataset/ReducedLP/scpd1_reduced.lp,0.458614,0.49438
../Dataset/ReducedLP/scpd1_reduced.lp,0.8557790000000001,0.4971680000000001
../Dataset/ReducedLP/scpd1_reduced.lp,0.460355,0.479836
../Dataset/ReducedLP/scpd1_reduced.lp,0.4501310000000001,0.49459
../Dataset/ReducedLP/scpd1_reduced.lp,0.404586,0.439609
../Dataset/ReducedLP/scpd1_reduced.lp,0.434192,0.489765
../Dataset/ReducedLP/scpd1_reduced.lp,0.448625,0.482168
../Dataset/ReducedLP/scpd1_reduced.lp,0.44925600000000004,0.505811
../Dataset/ReducedLP/scpd2_reduced.lp,1.8428470000000001,1.080966
../Dataset/ReducedLP/scpd2_reduced.lp,1.475644,1.090766
../Dataset/ReducedLP/scpd2_reduced.lp,0.9697899999999999,0.981879
../Dataset/ReducedLP/scpd2_reduced.lp,2.065394,0.998737
../Dataset/ReducedLP/scpd2_reduced.lp,0.8439260000000001,0.906517
../Dataset/ReducedLP/scpd2_reduced.lp,0.883632,0.988175
../Dataset/ReducedLP/scpd2_reduced.lp,0.858978,0.972016
../Dataset/ReducedLP/scpd2_reduced.lp,0.8729459999999999,0.966334
../Dataset/ReducedLP/scpd2_reduced.lp,1.009542,1.09745
../Dataset/ReducedLP/scpd2_reduced.lp,0.933417,0.931311
../Dataset/ReducedLP/scpd3_reduced.lp,1.152499,0.7416550000000001
../Dataset/ReducedLP/scpd3_reduced.lp,1.496572,0.739405
../Dataset/ReducedLP/scpd3_reduced.lp,0.751931,0.8334159999999999
