Instance,Seed,NodeIndex,Gap,depth,percentageFracVars
../Dataset/ReducedLP/scpd3_reduced.lp,9397,0,0.083333,0,30.701754
../Dataset/ReducedLP/scpd3_reduced.lp,9397,1,0.055556,1,30.701754
../Dataset/ReducedLP/scpd3_reduced.lp,9397,2,0.055556,2,29.824561
../Dataset/ReducedLP/scpd3_reduced.lp,9397,6,0.041667,3,29.532164
../Dataset/ReducedLP/scpd3_reduced.lp,9397,11,0.027778,4,30.409357
../Dataset/ReducedLP/scpd3_reduced.lp,9397,35,0.013889,4,21.345029
../Dataset/ReducedLP/scpd3_reduced.lp,9397,66,0.027778,7,20.760234
../Dataset/ReducedLP/scpd3_reduced.lp,9397,67,0.027778,8,20.760234
../Dataset/ReducedLP/scpd3_reduced.lp,9397,68,0.013889,9,14.327485
../Dataset/ReducedLP/scpd3_reduced.lp,9397,69,0.013889,10,14.327485
../Dataset/ReducedLP/scpd3_reduced.lp,9397,72,0.013889,9,15.204678
../Dataset/ReducedLP/scpd3_reduced.lp,9397,3,0.069444,2,27.485380
../Dataset/ReducedLP/scpd3_reduced.lp,9397,7,0.055556,3,26.315789
../Dataset/ReducedLP/scpd3_reduced.lp,9397,10,0.055556,4,25.146199
../Dataset/ReducedLP/scpd3_reduced.lp,9397,11,0.055556,5,25.146199
../Dataset/ReducedLP/scpd3_reduced.lp,9397,12,0.027778,6,20.760234
../Dataset/ReducedLP/scpd3_reduced.lp,9397,15,0.041667,6,23.391813
../Dataset/ReducedLP/scpd3_reduced.lp,9397,25,0.055556,3,26.900585
../Dataset/ReducedLP/scpd3_reduced.lp,9397,31,0.041667,4,24.269006
../Dataset/ReducedLP/scpd3_reduced.lp,9397,32,0.041667,5,24.269006
../Dataset/ReducedLP/scpd3_reduced.lp,9397,33,0.041667,6,23.391813
../Dataset/ReducedLP/scpd3_reduced.lp,9397,38,0.041667,6,24.269006
../Dataset/ReducedLP/scpd3_reduced.lp,9397,39,0.027778,7,23.099415
../Dataset/ReducedLP/scpd3_reduced.lp,9397,47,0.013889,7,15.497076
../Dataset/ReducedLP/scpd3_reduced.lp,9397,50,0.041667,4,24.853801
../Dataset/ReducedLP/scpd3_reduced.lp,9397,51,0.041667,5,24.853801
../Dataset/ReducedLP/scpd3_reduced.lp,9397,62,0.041667,6,22.807018
../Dataset/ReducedLP/scpd3_reduced.lp,9397,63,0.027778,7,21.345029
../Dataset/ReducedLP/scpd3_reduced.lp,9397,66,0.027778,8,17.251462
../Dataset/ReducedLP/scpd3_reduced.lp,9397,67,0.027778,9,17.251462
../Dataset/ReducedLP/scpd3_reduced.lp,9397,2,0.041667,2,29.239766
../Dataset/ReducedLP/scpd3_reduced.lp,9397,4,0.027778,3,32.163743
../Dataset/ReducedLP/scpd3_reduced.lp,9397,16,0.027778,4,21.345029
../Dataset/ReducedLP/scpd3_reduced.lp,9397,18,0.013889,5,18.128655
../Dataset/ReducedLP/scpd3_reduced.lp,9397,34,0.027778,6,23.391813
../Dataset/ReducedLP/scpd3_reduced.lp,9397,49,0.013889,7,22.807018
../Dataset/ReducedLP/scpd3_reduced.lp,9397,1,0.083333,1,28.947368
../Dataset/ReducedLP/scpd3_reduced.lp,9397,3,0.055556,2,27.192982
../Dataset/ReducedLP/scpd3_reduced.lp,9397,5,0.055556,3,27.485380
../Dataset/ReducedLP/scpd3_reduced.lp,9397,8,0.041667,4,28.070175
../Dataset/ReducedLP/scpd3_reduced.lp,9397,12,0.027778,5,28.362573
../Dataset/ReducedLP/scpd3_reduced.lp,9397,26,0.013889,6,11.111111
../Dataset/ReducedLP/scpd3_reduced.lp,9397,35,0.027778,3,26.023392
