Instance,Seed,NodeIndex,Gap,depth,percentageFracVars
../Dataset/ReducedLP/scpc2_reduced.lp,338,0,0.022831,0,33.753149
../Dataset/ReducedLP/scpc2_reduced.lp,338,1,0.022831,1,32.745592
../Dataset/ReducedLP/scpc2_reduced.lp,338,3,0.013699,2,30.226700
../Dataset/ReducedLP/scpc2_reduced.lp,338,4,0.000000,3,20.906801
../Dataset/ReducedLP/scpc2_reduced.lp,338,11,0.000000,4,18.136020
../Dataset/ReducedLP/scpc2_reduced.lp,338,12,0.000000,5,18.136020
../Dataset/ReducedLP/scpc2_reduced.lp,338,18,0.000000,6,16.876574
../Dataset/ReducedLP/scpc2_reduced.lp,338,22,0.000000,7,21.158690
../Dataset/ReducedLP/scpc2_reduced.lp,338,28,0.004566,8,0.000000
../Dataset/ReducedLP/scpc2_reduced.lp,338,35,0.004566,7,17.128463
../Dataset/ReducedLP/scpc2_reduced.lp,338,5,0.013699,3,28.967254
../Dataset/ReducedLP/scpc2_reduced.lp,338,11,0.004566,4,12.342569
../Dataset/ReducedLP/scpc2_reduced.lp,338,12,0.004566,5,12.342569
../Dataset/ReducedLP/scpc2_reduced.lp,338,4,0.013699,3,28.211587
../Dataset/ReducedLP/scpc2_reduced.lp,338,5,0.013699,4,28.211587
../Dataset/ReducedLP/scpc2_reduced.lp,338,7,0.009132,5,25.692695
../Dataset/ReducedLP/scpc2_reduced.lp,338,16,0.004566,6,26.448363
../Dataset/ReducedLP/scpc2_reduced.lp,338,22,0.004566,7,11.335013
../Dataset/ReducedLP/scpc2_reduced.lp,338,23,0.004566,8,11.335013
../Dataset/ReducedLP/scpc2_reduced.lp,338,3,0.013699,2,30.730479
../Dataset/ReducedLP/scpc2_reduced.lp,338,5,0.000000,3,22.166247
../Dataset/ReducedLP/scpc2_reduced.lp,338,6,0.000000,4,22.166247
../Dataset/ReducedLP/scpc2_reduced.lp,338,16,0.004566,5,24.181360
../Dataset/ReducedLP/scpc2_reduced.lp,338,27,0.004566,6,21.158690
../Dataset/ReducedLP/scpc2_reduced.lp,338,38,0.004566,8,17.128463
