Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpd2_reduced.lp,1.090276,66.000000,66.000000,0.000000,1204,0,50,575,1867,4,1,1,3,5.0,100,0,1,1,0,5.093991
../Dataset/ReducedLP/scpd2_reduced.lp,1.000723,66.000000,66.000000,0.000000,1580,0,100,729,3363,4,1,1,3,5.0,100,0,1,1,0,5.594380
../Dataset/ReducedLP/scpd2_reduced.lp,1.898463,66.000000,66.000000,0.000000,1581,0,75,741,6822,4,1,1,3,5.0,100,0,1,1,0,4.774710
../Dataset/ReducedLP/scpd2_reduced.lp,0.966826,66.000000,66.000000,0.000000,1388,0,61,657,8927,4,1,1,3,5.0,100,0,1,1,0,5.501996
../Dataset/ReducedLP/scpd2_reduced.lp,0.928999,66.000000,66.000000,0.000000,1368,0,54,656,9397,4,1,1,3,5.0,100,0,1,1,0,5.563836
../Dataset/ReducedLP/scpd2_reduced.lp,2.069345,66.000000,66.000000,0.000000,1911,0,89,977,338,4,1,1,3,5.0,100,0,1,1,0,4.368574
../Dataset/ReducedLP/scpd2_reduced.lp,0.984998,66.000000,66.000000,0.000000,1491,0,66,703,1997,4,1,1,3,5.0,100,0,1,1,0,5.489758
../Dataset/ReducedLP/scpd2_reduced.lp,0.911156,66.000000,66.000000,0.000000,1256,0,50,615,5538,4,1,1,3,5.0,100,0,1,1,0,5.937678
../Dataset/ReducedLP/scpd2_reduced.lp,0.988072,66.000000,66.000000,0.000000,1700,0,57,837,8007,4,1,1,3,5.0,100,0,1,1,0,6.752718
../Dataset/ReducedLP/scpd2_reduced.lp,1.094867,66.000000,66.000000,0.000000,1300,0,68,602,8957,4,1,1,3,5.0,100,0,1,1,0,4.724372
