4,CPLEX Default,par = 1.5,par = 2.0,par = 5.0
../Dataset/ReducedLP/scpb2_reduced.lp,499,482,505,489
../Dataset/ReducedLP/scpb2_reduced.lp,495,454,473,467
../Dataset/ReducedLP/scpb2_reduced.lp,450,542,508,513
../Dataset/ReducedLP/scpb2_reduced.lp,652,610,564,577
../Dataset/ReducedLP/scpb2_reduced.lp,519,493,485,505
../Dataset/ReducedLP/scpb2_reduced.lp,474,445,374,462
../Dataset/ReducedLP/scpb2_reduced.lp,443,459,475,475
../Dataset/ReducedLP/scpb2_reduced.lp,443,479,476,514
../Dataset/ReducedLP/scpb2_reduced.lp,430,439,451,407
../Dataset/ReducedLP/scpb2_reduced.lp,445,480,472,478
../Dataset/ReducedLP/scpb4_reduced.lp,630,628,648,660
../Dataset/ReducedLP/scpb4_reduced.lp,659,613,729,761
../Dataset/ReducedLP/scpb4_reduced.lp,718,756,928,933
../Dataset/ReducedLP/scpb4_reduced.lp,752,646,600,611
../Dataset/ReducedLP/scpb4_reduced.lp,720,999,764,707
../Dataset/ReducedLP/scpb4_reduced.lp,741,663,683,733
../Dataset/ReducedLP/scpb4_reduced.lp,767,594,611,629
../Dataset/ReducedLP/scpb4_reduced.lp,673,750,650,659
../Dataset/ReducedLP/scpb4_reduced.lp,732,583,655,673
../Dataset/ReducedLP/scpb4_reduced.lp,657,591,600,592
../Dataset/ReducedLP/scpc2_reduced.lp,37,34,34,34
../Dataset/ReducedLP/scpc2_reduced.lp,134,106,102,102
../Dataset/ReducedLP/scpc2_reduced.lp,46,35,35,35
../Dataset/ReducedLP/scpc2_reduced.lp,36,31,31,31
../Dataset/ReducedLP/scpc2_reduced.lp,43,32,32,32
../Dataset/ReducedLP/scpc2_reduced.lp,43,31,31,31
../Dataset/ReducedLP/scpc2_reduced.lp,91,67,67,67
../Dataset/ReducedLP/scpc2_reduced.lp,37,34,34,34
../Dataset/ReducedLP/scpc2_reduced.lp,90,84,84,84
../Dataset/ReducedLP/scpc2_reduced.lp,88,99,99,99
../Dataset/ReducedLP/scpc3_reduced.lp,173,149,149,149
../Dataset/ReducedLP/scpc3_reduced.lp,229,178,179,181
../Dataset/ReducedLP/scpc3_reduced.lp,195,172,192,186
../Dataset/ReducedLP/scpc3_reduced.lp,176,139,139,140
../Dataset/ReducedLP/scpc3_reduced.lp,275,176,178,184
../Dataset/ReducedLP/scpc3_reduced.lp,179,167,177,179
../Dataset/ReducedLP/scpc3_reduced.lp,195,245,292,226
../Dataset/ReducedLP/scpc3_reduced.lp,174,146,146,146
../Dataset/ReducedLP/scpc3_reduced.lp,213,251,276,272
../Dataset/ReducedLP/scpc3_reduced.lp,172,163,161,168
../Dataset/ReducedLP/scpclr10_reduced.lp,53828,82579,91481,54682
../Dataset/ReducedLP/scpclr10_reduced.lp,41118,41531,32041,41535
../Dataset/ReducedLP/scpclr10_reduced.lp,17247,24369,20017,21644
../Dataset/ReducedLP/scpclr10_reduced.lp,30357,42101,31267,30640
../Dataset/ReducedLP/scpclr10_reduced.lp,28294,43998,50801,34674
../Dataset/ReducedLP/scpclr10_reduced.lp,31160,64553,47250,47487
../Dataset/ReducedLP/scpclr10_reduced.lp,65166,73056,68850,81280
../Dataset/ReducedLP/scpclr10_reduced.lp,45426,41701,44730,39469
../Dataset/ReducedLP/scpclr10_reduced.lp,32855,39520,30336,28896
../Dataset/ReducedLP/scpclr10_reduced.lp,16271,18291,14315,12931
../Dataset/ReducedLP/scpclr11_reduced.lp,695920,2000363,845140,697523
../Dataset/ReducedLP/scpclr11_reduced.lp,928666,2209996,799126,860691
../Dataset/ReducedLP/scpclr11_reduced.lp,886695,1269166,557694,900934
