Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpnrf2_reduced.lp,6.919060,15.000000,15.000000,0.000000,15698,0,3376,4714,1867,4,1,1,3,2.0,150,0,1,0,0,3.641125
../Dataset/ReducedLP/scpnrf2_reduced.lp,6.940324,15.000000,15.000000,0.000000,19255,0,3884,5979,3363,4,1,1,3,2.0,150,0,1,0,0,3.622076
../Dataset/ReducedLP/scpnrf2_reduced.lp,8.401643,15.000000,15.000000,0.000000,20323,0,3920,6494,6822,4,1,1,3,2.0,150,0,1,0,0,2.985022
../Dataset/ReducedLP/scpnrf2_reduced.lp,6.325164,15.000000,15.000000,0.000000,15485,0,2952,4958,8927,4,1,1,3,2.0,150,0,1,0,0,3.976452
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.371831,15.000000,15.000000,0.000000,16897,0,3222,5407,9397,4,1,1,3,2.0,150,0,1,0,0,3.437428
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.271973,15.000000,15.000000,0.000000,17642,0,3726,5318,338,4,1,1,3,2.0,150,0,1,0,0,3.465161
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.563668,15.000000,15.000000,0.000000,18337,0,3341,6066,1997,4,1,1,3,2.0,150,0,1,0,0,3.323342
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.456908,15.000000,15.000000,0.000000,19972,0,3910,6340,5538,4,1,1,3,2.0,150,0,1,0,0,3.414866
../Dataset/ReducedLP/scpnrf2_reduced.lp,6.631803,15.000000,15.000000,0.000000,16315,0,3110,5247,8007,4,1,1,3,2.0,150,0,1,0,0,3.866367
../Dataset/ReducedLP/scpnrf2_reduced.lp,7.590828,15.000000,15.000000,0.000000,17622,0,3594,5425,8957,4,1,1,3,2.0,150,0,1,0,0,3.337212
