Instance,Seed,NodeIndex,Gap,depth,percentageFracVars
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,0,0.041305,0,18.292683
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,1,0.041305,1,18.292683
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,2,0.000000,2,17.682927
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,3,0.000000,3,17.479675
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,5,0.000000,4,17.886179
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,8,0.041305,5,17.682927
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,9,0.041305,6,18.089431
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,16,0.082610,6,16.260163
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,17,0.082610,7,17.682927
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,25,0.082610,7,15.853659
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,26,0.123915,8,15.243902
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,35,0.123915,9,15.650407
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,36,0.165220,9,13.821138
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,45,0.165220,10,15.447154
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,46,0.206525,10,14.024390
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,49,0.000000,4,16.056911
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,65,0.000000,5,16.869919
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,66,0.041305,5,15.650407
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,67,0.041305,6,15.853659
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,81,0.041305,6,15.853659
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,82,0.082610,7,14.634146
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,83,0.082610,8,15.040650
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,92,0.082610,8,14.227642
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,93,0.123915,9,15.853659
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,94,0.082610,9,13.821138
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,95,0.123915,10,15.040650
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,96,0.123915,10,12.804878
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,97,0.123915,11,12.195122
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,98,0.123915,12,9.756098
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,111,0.165220,13,11.788618
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,112,0.123915,13,9.552846
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,113,0.123915,14,10.975610
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,114,0.123915,14,11.178862
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,116,0.123915,15,10.569106
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,117,0.123915,16,10.162602
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,118,0.165220,17,11.788618
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,119,0.165220,17,10.772358
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,120,0.165220,18,10.772358
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,121,0.165220,18,9.756098
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,143,0.165220,19,11.382114
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,144,0.165220,19,10.975610
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,146,0.165220,20,9.959350
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,148,0.206525,21,9.349593
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,151,0.000000,5,17.682927
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,152,0.041305,6,18.089431
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,167,0.082610,7,17.682927
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,168,0.082610,8,17.073171
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,169,0.082610,9,16.463415
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,170,0.082610,10,17.479675
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,187,0.123915,11,17.479675
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,188,0.123915,12,16.260163
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,3,0.041305,3,16.666667
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,9,0.041305,4,16.056911
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,10,0.082610,5,15.243902
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,11,0.082610,6,14.634146
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,12,0.082610,7,15.447154
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,23,0.123915,7,13.617886
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,24,0.123915,8,14.227642
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,31,0.165220,9,13.617886
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,32,0.165220,9,12.804878
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,33,0.165220,10,12.398374
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,42,0.206525,11,10.975610
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,45,0.000000,4,17.073171
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,55,0.000000,5,15.650407
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,56,0.000000,6,16.260163
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,74,0.041305,6,16.260163
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,75,0.041305,7,16.056911
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,89,0.041305,8,16.463415
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,90,0.041305,8,14.837398
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,91,0.041305,9,15.853659
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,104,0.082610,9,14.430894
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,105,0.123915,10,13.617886
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,106,0.082610,10,13.617886
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,107,0.082610,11,13.414634
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,108,0.165220,11,13.211382
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,109,0.123915,12,13.008130
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,110,0.123915,13,13.821138
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,128,0.123915,13,12.804878
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,129,0.165220,14,12.601626
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,130,0.165220,15,11.585366
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,133,0.000000,5,16.056911
../Dataset/ReducedLP/scpnre2_reduced.lp,1867,134,0.041305,6,16.463415
