Instance,Seed,NodeIndex,Gap,depth,percentageFracVars
../Dataset/ReducedLP/scpb4_reduced.lp,9397,0,0.088608,0,27.878788
../Dataset/ReducedLP/scpb4_reduced.lp,9397,1,0.075949,1,27.272727
../Dataset/ReducedLP/scpb4_reduced.lp,9397,3,0.063291,2,24.848485
../Dataset/ReducedLP/scpb4_reduced.lp,9397,10,0.050633,3,25.757576
../Dataset/ReducedLP/scpb4_reduced.lp,9397,22,0.037975,4,23.333333
../Dataset/ReducedLP/scpb4_reduced.lp,9397,28,0.025316,5,24.242424
../Dataset/ReducedLP/scpb4_reduced.lp,9397,42,0.012658,7,18.181818
../Dataset/ReducedLP/scpb4_reduced.lp,9397,3,0.037975,2,24.545455
../Dataset/ReducedLP/scpb4_reduced.lp,9397,7,0.037975,3,22.424242
../Dataset/ReducedLP/scpb4_reduced.lp,9397,12,0.037975,4,17.575758
../Dataset/ReducedLP/scpb4_reduced.lp,9397,19,0.012658,5,9.090909
../Dataset/ReducedLP/scpb4_reduced.lp,9397,24,0.050633,4,24.545455
../Dataset/ReducedLP/scpb4_reduced.lp,9397,29,0.037975,5,24.545455
../Dataset/ReducedLP/scpb4_reduced.lp,9397,38,0.037975,6,22.424242
../Dataset/ReducedLP/scpb4_reduced.lp,9397,41,0.025316,7,18.484848
../Dataset/ReducedLP/scpb4_reduced.lp,9397,58,0.037975,6,20.303030
../Dataset/ReducedLP/scpb4_reduced.lp,9397,60,0.025316,7,13.636364
../Dataset/ReducedLP/scpb4_reduced.lp,9397,2,0.025316,2,19.696970
../Dataset/ReducedLP/scpb4_reduced.lp,9397,9,0.050633,3,25.454545
../Dataset/ReducedLP/scpb4_reduced.lp,9397,20,0.025316,4,23.333333
../Dataset/ReducedLP/scpb4_reduced.lp,9397,34,0.025316,3,23.939394
../Dataset/ReducedLP/scpb4_reduced.lp,9397,46,0.012658,5,14.848485
../Dataset/ReducedLP/scpb4_reduced.lp,9397,1,0.063291,1,26.060606
../Dataset/ReducedLP/scpb4_reduced.lp,9397,2,0.063291,2,24.848485
../Dataset/ReducedLP/scpb4_reduced.lp,9397,5,0.037975,3,23.333333
../Dataset/ReducedLP/scpb4_reduced.lp,9397,9,0.012658,4,22.727273
../Dataset/ReducedLP/scpb4_reduced.lp,9397,14,0.012658,4,23.030303
../Dataset/ReducedLP/scpb4_reduced.lp,9397,27,0.050633,4,24.848485
../Dataset/ReducedLP/scpb4_reduced.lp,9397,30,0.050633,5,24.848485
../Dataset/ReducedLP/scpb4_reduced.lp,9397,39,0.025316,6,20.909091
../Dataset/ReducedLP/scpb4_reduced.lp,9397,40,0.012658,7,18.484848
