Instance,Seed,NodeIndex,Gap,depth,percentageFracVars
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,0,0.084552,0,24.124514
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,1,0.084552,1,23.735409
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,2,0.084552,2,23.735409
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,5,0.000000,3,21.789883
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,10,0.000000,4,21.789883
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,12,0.000000,5,20.622568
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,19,0.000000,5,22.178988
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,20,0.084552,6,18.287938
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,29,0.084552,7,17.120623
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,44,0.000000,3,21.400778
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,45,0.000000,4,19.844358
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,51,0.000000,5,21.400778
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,52,0.000000,5,20.622568
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,64,0.000000,6,18.287938
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,65,0.000000,7,21.011673
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,70,0.000000,7,17.120623
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,71,0.000000,8,16.731518
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,72,0.000000,8,19.455253
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,85,0.000000,9,17.898833
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,86,0.000000,9,16.342412
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,87,0.000000,10,15.953307
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,88,0.000000,10,15.564202
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,89,0.084552,11,14.785992
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,90,0.084552,12,15.175097
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,99,0.084552,13,12.840467
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,101,0.084552,14,12.840467
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,104,0.000000,4,22.957198
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,127,0.000000,5,19.455253
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,128,0.000000,6,19.066148
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,129,0.084552,7,16.731518
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,132,0.000000,6,19.455253
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,160,0.000000,7,19.066148
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,161,0.084552,8,15.175097
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,164,0.000000,4,19.844358
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,184,0.084552,5,15.564202
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,186,0.084552,6,15.175097
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,189,0.000000,6,19.455253
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,190,0.000000,7,18.287938
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,212,0.000000,7,18.677043
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,213,0.000000,8,16.731518
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,214,0.000000,9,15.953307
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,215,0.000000,9,15.564202
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,3,0.000000,2,20.233463
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,7,0.000000,3,19.455253
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,9,0.000000,4,19.066148
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,10,0.000000,5,19.844358
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,14,0.000000,5,18.287938
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,15,0.000000,6,17.898833
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,21,0.000000,6,17.509728
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,22,0.084552,7,14.396887
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,26,0.084552,7,11.673152
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,28,0.084552,8,11.284047
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,30,0.084552,9,10.894942
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,39,0.000000,4,20.233463
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,49,0.000000,5,21.011673
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,50,0.000000,5,17.120623
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,62,0.000000,6,21.789883
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,63,0.000000,6,20.622568
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,72,0.000000,7,17.898833
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,73,0.000000,8,18.677043
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,74,0.084552,8,14.785992
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,90,0.000000,4,18.677043
../Dataset/ReducedLP/scpnrf2_reduced.lp,8927,91,0.000000,5,18.287938
