Instance,Seed,NodeIndex,Gap,depth,percentageFracVars
../Dataset/ReducedLP/scpd3_reduced.lp,8927,0,0.083333,0,30.701754
../Dataset/ReducedLP/scpd3_reduced.lp,8927,1,0.083333,1,27.777778
../Dataset/ReducedLP/scpd3_reduced.lp,8927,2,0.069444,2,26.023392
../Dataset/ReducedLP/scpd3_reduced.lp,8927,4,0.055556,3,24.269006
../Dataset/ReducedLP/scpd3_reduced.lp,8927,7,0.041667,4,24.269006
../Dataset/ReducedLP/scpd3_reduced.lp,8927,8,0.041667,5,23.976608
../Dataset/ReducedLP/scpd3_reduced.lp,8927,9,0.027778,5,21.929825
../Dataset/ReducedLP/scpd3_reduced.lp,8927,13,0.027778,6,22.514620
../Dataset/ReducedLP/scpd3_reduced.lp,8927,14,0.013889,6,21.345029
../Dataset/ReducedLP/scpd3_reduced.lp,8927,15,0.013889,7,22.807018
../Dataset/ReducedLP/scpd3_reduced.lp,8927,21,0.013889,7,18.421053
../Dataset/ReducedLP/scpd3_reduced.lp,8927,22,0.013889,8,18.421053
../Dataset/ReducedLP/scpd3_reduced.lp,8927,23,0.000000,9,16.081871
../Dataset/ReducedLP/scpd3_reduced.lp,8927,24,0.000000,9,15.789474
../Dataset/ReducedLP/scpd3_reduced.lp,8927,25,0.000000,10,15.789474
../Dataset/ReducedLP/scpd3_reduced.lp,8927,26,0.013889,11,0.000000
../Dataset/ReducedLP/scpd3_reduced.lp,8927,29,0.000000,11,15.789474
../Dataset/ReducedLP/scpd3_reduced.lp,8927,30,0.013889,12,0.000000
../Dataset/ReducedLP/scpd3_reduced.lp,8927,31,0.055556,3,25.438596
../Dataset/ReducedLP/scpd3_reduced.lp,8927,32,0.041667,4,24.269006
../Dataset/ReducedLP/scpd3_reduced.lp,8927,41,0.041667,4,23.976608
../Dataset/ReducedLP/scpd3_reduced.lp,8927,42,0.027778,5,23.099415
../Dataset/ReducedLP/scpd3_reduced.lp,8927,43,0.041667,5,23.391813
../Dataset/ReducedLP/scpd3_reduced.lp,8927,50,0.027778,6,16.959064
../Dataset/ReducedLP/scpd3_reduced.lp,8927,51,0.027778,6,21.345029
../Dataset/ReducedLP/scpd3_reduced.lp,8927,52,0.027778,7,21.345029
../Dataset/ReducedLP/scpd3_reduced.lp,8927,53,0.000000,8,19.005848
../Dataset/ReducedLP/scpd3_reduced.lp,8927,69,0.027778,6,23.099415
../Dataset/ReducedLP/scpd3_reduced.lp,8927,70,0.027778,7,23.684211
../Dataset/ReducedLP/scpd3_reduced.lp,8927,71,0.000000,8,21.052632
