Instance,Seed,NodeIndex,Gap,depth,percentageFracVars
../Dataset/ReducedLP/scpc3_reduced.lp,8927,0,0.028807,0,27.912088
../Dataset/ReducedLP/scpc3_reduced.lp,8927,1,0.028807,1,26.813187
../Dataset/ReducedLP/scpc3_reduced.lp,8927,3,0.024691,2,27.252747
../Dataset/ReducedLP/scpc3_reduced.lp,8927,8,0.020576,3,25.714286
../Dataset/ReducedLP/scpc3_reduced.lp,8927,9,0.020576,4,25.714286
../Dataset/ReducedLP/scpc3_reduced.lp,8927,11,0.016461,5,26.373626
../Dataset/ReducedLP/scpc3_reduced.lp,8927,18,0.016461,6,26.373626
../Dataset/ReducedLP/scpc3_reduced.lp,8927,19,0.016461,7,26.373626
../Dataset/ReducedLP/scpc3_reduced.lp,8927,20,0.012346,8,24.835165
../Dataset/ReducedLP/scpc3_reduced.lp,8927,27,0.012346,9,24.175824
../Dataset/ReducedLP/scpc3_reduced.lp,8927,37,0.008230,10,18.901099
../Dataset/ReducedLP/scpc3_reduced.lp,8927,38,0.008230,11,18.901099
../Dataset/ReducedLP/scpc3_reduced.lp,8927,3,0.020576,2,25.054945
../Dataset/ReducedLP/scpc3_reduced.lp,8927,6,0.016461,3,24.835165
../Dataset/ReducedLP/scpc3_reduced.lp,8927,9,0.016461,4,24.835165
../Dataset/ReducedLP/scpc3_reduced.lp,8927,10,0.012346,5,23.736264
../Dataset/ReducedLP/scpc3_reduced.lp,8927,13,0.008230,6,22.417582
../Dataset/ReducedLP/scpc3_reduced.lp,8927,14,0.008230,7,22.417582
../Dataset/ReducedLP/scpc3_reduced.lp,8927,23,0.008230,3,23.296703
../Dataset/ReducedLP/scpc3_reduced.lp,8927,8,0.012346,3,22.637363
../Dataset/ReducedLP/scpc3_reduced.lp,8927,9,0.012346,4,22.637363
../Dataset/ReducedLP/scpc3_reduced.lp,8927,15,0.004115,5,15.604396
../Dataset/ReducedLP/scpc3_reduced.lp,8927,20,0.004115,5,15.384615
../Dataset/ReducedLP/scpc3_reduced.lp,8927,30,0.004115,6,15.384615
../Dataset/ReducedLP/scpc3_reduced.lp,8927,31,0.000000,7,0.000000
../Dataset/ReducedLP/scpc3_reduced.lp,8927,32,0.004115,7,10.769231
../Dataset/ReducedLP/scpc3_reduced.lp,8927,1,0.008230,1,28.351648
../Dataset/ReducedLP/scpc3_reduced.lp,8927,2,0.004115,2,28.131868
../Dataset/ReducedLP/scpc3_reduced.lp,8927,3,0.004115,3,28.131868
../Dataset/ReducedLP/scpc3_reduced.lp,8927,17,0.000000,6,18.461538
../Dataset/ReducedLP/scpc3_reduced.lp,8927,37,0.008230,5,14.285714
../Dataset/ReducedLP/scpc3_reduced.lp,8927,38,0.008230,6,14.285714
